ID,Y,X,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,cat_hex,an_hex,diamond_hex,Ca_meqL,Mg_meqL,Na_meqL,K_meqL,HCO3_meqL,CO3_meqL,Cl_meqL,SO4_meqL,anions,cations,NaK_meqL,NaK,EC,CBE,maj_cation,maj_anion,water_type,Alkcalc,TDScalc
45,-27.55890528,151.2565397,25.5,13.0,100.0,1.0,300.0,1.8,69.0,7.1,#71ff69,#ff7b31,#ceff8a,1.2725185887519337,1.0697387368854145,4.349761163314044,0.025576559594662682,4.916651288474026,0.0599908014104504,1.9462551512296666,0.14781873675356744,7.07071597786771,11.092932771454763,4.375337722908707,100.63276762690026,-4.022216793587052,-0.2214432160133622,Na,HCO3,Na-HCO3,303.6,397.39276762690025
46,-27.09768691,151.22976090000003,21.0,19.0,250.0,1.3,470.0,3.5,195.0,11.0,#31ff3a,#ffc63a,#86ff6c,1.0479564848545335,1.5634643077556059,10.874402908285111,0.03324952747306149,7.702753685275973,0.11664878052032021,5.500286296953406,0.2290149442660904,13.54870370701579,24.426725664126486,10.907652435758173,250.876006022438,-10.878021957110697,-0.2864489523159141,Na,HCO3,Na-HCO3,477.0,783.0760060224379
47,-27.21953935,151.12188559999998,41.0,30.0,340.0,1.3,445.0,11.5,360.0,100.0,#3fff45,#d4ff6c,#7dffb4,2.0460102799540896,2.4686278543509568,14.789187955267751,0.03324952747306149,7.293032744569805,0.38327456456676645,10.154374702067825,2.08195403878264,19.912636049987036,34.15951309978667,14.822437482740813,340.9160621030387,-14.246877049799636,-0.2634790233755534,Na,Cl,Na-Cl,468.0,1152.7160621030387
48,-27.08318809,151.14361609999997,46.0,62.0,690.0,4.0,370.0,7.0,1050.0,100.0,#30ff42,#4eff33,#49f0ff,2.2955237287289783,5.101830898991977,30.013352026866908,0.10230623837865073,6.063869922451298,0.23329756104064042,29.61692621436449,2.08195403878264,37.99604773663907,67.62867115821207,30.11565826524556,692.6601401006479,-29.632623421573,-0.28054629381851537,Na,Cl,Na-Cl,384.0,2181.060140100648
49,-27.14195149,151.186992,42.0,52.0,716.0,5.0,418.0,4.4,1050.0,50.0,#29ff36,#51ff29,#47fff7,2.095912969709067,4.278954947541658,31.144289929328558,0.12788279797331342,6.850534128607142,0.14664418122554543,29.61692621436449,1.04097701939132,37.6550815435885,68.91921337185447,31.27217272730187,719.259972727943,-31.264131828265967,-0.2933552772089294,Na,Cl,Na-Cl,426.8,2169.339972727943
50,-27.48884443,151.31039219999997,38.0,35.0,111.0,1.0,459.0,1.9,60.0,38.0,#a0ffbe,#ff553e,#fdff86,1.896302210689156,2.880065830076116,4.82823489127859,0.025576559594662682,7.522476471365259,0.06332362371103097,1.6923957836779708,0.7911425347374031,10.069338413491664,14.483990942511777,4.853811450873253,111.63766337008481,-4.414652529020113,-0.17979853017125366,Na,HCO3,Na-HCO3,462.8,560.3176633700848
51,-27.25541199,151.155568,19.0,16.0,222.0,1.5,397.0,2.7,180.0,35.0,#31ff38,#ffd44d,#78ff6d,0.948151105344578,1.3166015223205103,9.65646978255718,0.038364839391994025,6.506368538413961,0.08998620211567561,5.0771873510339125,0.728683913573924,12.402226005137472,21.654421871563436,9.694834621949173,222.98119630483097,-9.252195866425964,-0.2716707733515854,Na,HCO3,Na-HCO3,402.4,714.4211963048309
52,-27.23036162,151.16387230000004,24.0,31.0,325.0,2.0,435.0,2.8,350.0,71.0,#33ff46,#ceff5a,#74ffa7,1.197664554119467,2.5509154494959887,14.136723780770645,0.051153119189325365,7.129144368287338,0.09331902441625617,9.872308738121497,1.4781873675356745,18.572959498360767,32.12433380353539,14.18787689995997,326.32116869907935,-13.551374305174626,-0.2672997594660104,Na,Cl,Na-Cl,440.6,1066.6811686990795
53,-27.49306666,151.2649765,33.0,20.0,122.0,1.2,401.0,0.5,59.0,5.0,#77ff77,#ff5625,#d7ff6e,1.6467887619142672,1.6457519029006378,5.3067086192431345,0.030691871513595217,6.571923888926948,0.01666411150290289,1.664189187283338,0.104097701939132,8.356874889652321,13.967341646328366,5.33740049075673,122.76021128740479,-5.610466756676045,-0.25131752093666837,Na,HCO3,Na-HCO3,402.0,480.9602112874048
54,-27.37464312,151.2097341,24.0,15.0,72.0,1.2,266.0,0.7,46.0,3.0,#8eff90,#ff6228,#e8ff7e,1.197664554119467,1.2343139271754784,3.131828037586112,0.030691871513595217,4.359430809113636,0.023329756104064042,1.297503434153111,0.0624586211634792,5.74272262053429,8.75701829949436,3.162519909099707,72.73795790929327,-3.01429567896007,-0.2078861750416789,Na,HCO3,Na-HCO3,267.4,321.17795790929324
55,-27.58728166,151.3760762,39.0,24.0,86.0,1.5,370.0,2.1,55.0,4.0,#b0ffb1,#ff5625,#fffb76,1.9462049004441337,1.9749022834807652,3.7407946004500783,0.038364839391994025,6.063869922451298,0.06998926831219214,1.5513628017048067,0.0832781615513056,7.768500154019603,11.479426063609043,3.7791594398420725,86.92066711636767,-3.7109259095894407,-0.1927961416534684,Na,HCO3,Na-HCO3,374.2,433.44066711636765
56,-27.55228441,151.2481616,25.0,14.0,113.0,1.0,314.0,1.6,75.0,11.0,#65ff61,#ff8036,#c7ff89,1.2475672438744447,1.1520263320304465,4.91523011454487,0.025576559594662682,5.146095015269481,0.053325156809289245,2.1154947295974638,0.2290149442660904,7.543929845942324,12.281206924183959,4.940806674139533,113.63855350520926,-4.737277078241635,-0.23895305909717868,Na,HCO3,Na-HCO3,317.2,428.95855350520924
57,-27.26778841,151.178448,20.0,20.0,170.0,1.3,360.0,2.3,130.0,30.0,#47ff57,#ffb34c,#a5ff89,0.9980537950995558,1.6457519029006378,7.394593977633876,0.03324952747306149,5.8999815461688305,0.07665491291335327,3.6668575313022704,0.624586211634792,10.268080202019247,17.49949270821407,7.427843505106937,170.84040061745955,-7.231412506194824,-0.2604265244777586,Na,HCO3,Na-HCO3,364.6,589.6004006174595
58,-27.65817208,151.27266569999998,17.0,8.4,86.0,1.4,235.0,1.0,45.0,3.9,#5aff53,#ff6a2c,#bdff6f,0.8483457258346224,0.6912157992182679,3.7407946004500783,0.035807183432527756,3.8513768426379866,0.03332822300580578,1.2692968377584781,0.08119620751252296,5.235198110914793,9.092765092818103,3.7766017838826063,86.86184102929994,-3.85756698190331,-0.2692334511927201,Na,HCO3,Na-HCO3,237.0,303.36184102929997
59,-27.77701417,151.480959,41.0,31.5,150.0,1.5,495.0,3.0,86.0,11.5,#83ff90,#ff622c,#e1ff80,2.0460102799540896,2.5920592470685047,6.524641744971067,0.038364839391994025,8.112474625982143,0.09998466901741733,2.425767289938425,0.2394247144600036,10.87765129939799,17.764082695748716,6.563006584363061,150.9491514403504,-6.886431396350726,-0.2404334666859772,Na,HCO3,Na-HCO3,501.0,621.5491514403504
60,-27.49725564,151.3716215,47.0,46.0,171.0,4.0,463.0,1.3,197.0,34.0,#8bffa9,#ffcb49,#edffdc,2.345426418483956,3.7852293766714666,7.438091589267016,0.10230623837865073,7.588031821878246,0.04332668990754751,5.556699489742671,0.7078643731860976,13.895922374714562,21.211451450446756,7.540397827645666,173.4291500358503,-7.315529075732194,-0.20837585608551507,Na,HCO3,Na-HCO3,465.6,776.7891500358503
61,-27.47654272,151.38013569999998,49.0,76.0,358.0,7.0,475.0,0.7,486.0,112.0,#5bff87,#aeff63,#9cf0ff,2.4452317979939115,6.253857231022423,15.572144964664279,0.17903591716263878,7.784697873417207,0.023329756104064042,13.708405847791564,2.3317885234365567,23.848222000749395,40.201450792670165,15.751180881826917,362.2771602820191,-16.35322879192077,-0.2553210356696919,Na,Cl,Na-Cl,476.4,1371.117160282019
