Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field
-27.3063653,151.2261588,33,28,190,1.5,410,2.6,185,36,label_1
-27.67643066,151.3778634,52,28,83,1.8,380,1.7,86,5,label_1
-27.54452499,151.3942075,29.5,36,130,1.8,395,9.3,105,20,another
-27.18019468,151.0470913,57,36,460,6,295,1.9,780,4,another
-27.78861654,151.3799101,53,30,105,2.5,375,0.9,125,3,another
-27.26592133,151.1572917,25,18,208,1.5,419,3.7,160,38,another
-27.60240107,151.273881,24,13,99,1.1,275,0.9,69,3,another
-27.44702962,151.3803071,70,88,494,4,479,1.2,825,130,another
-27.47550883,151.336222,41,34,110,3,435,1.5,78,25,another
-27.47789735,151.2720047,25,19,120,1.3,396,3.2,52,14,another
-27.42107367,151.2268966,45,25,79,2,325,2.3,98,5,another
-27.68245506,151.383125,53,27,73,1.8,385,2.7,77,2,another
-27.78439088,151.3803962,53,30,120,2,410,1.9,125,3,another
-27.71730376,151.4244281,55,29.5,95,1.8,435,5,84,3.5,another
-27.5341373,151.2293951,46,22,195,2,395,1.4,215,13,another
-27.6042486,151.4094278,37,29,120,1.9,430,2.4,77,10,another
-27.63509577,151.258603,20,9.5,89,1.3,247,0.6,43,8,another
-27.58691638,151.4063261,40,27,105,2,335,2.5,100,14.5,another
-27.3237633,151.2478944,34,44,363,2,442,1.2,440,100,another
-27.5539924,151.2781641,36,18,81,0.5,325,1.2,50,14,another
-27.24508346,151.199983,37,29,198,1.7,362,1.1,213,33,another
-27.75775374,151.4403308,58,30,87,18,425,3.6,750,5,another
-27.72718298,151.3066772,37,20,69,1.6,230,0.8,110,3.1,another
-27.79130713,151.4418033,69,32.5,105,1.5,530,2.6,70,6.2,another
-27.79512365,151.4364345,70,34,115,2,570,1.4,70,4,another
-27.70869248,151.4572054,39,30,186,3.7,444,18,162,26,another
-27.56174873,151.4119273,41,39,170,2,470,2,160,46,another
-27.53983689,151.2643069,29,15,99,1,345,3.7,58,6.5,another
-27.18237078,151.0499958,305,165,1100,0.5,450,2.5,2300,180,another
-27.55341632,151.2691519,30,15,105,1,340,3.3,52,5.3,another
-27.19774384,151.0712623,28,20,240,2.4,275,5,310,2.9,another
-27.57409494,151.3958231,38,28,110,2,430,2.5,67,10.5,another
-27.29449808,151.252035,42,62,425,3,455,7.1,610,105,another
-27.25690201,151.1745368,15,18,246,1.5,416,2.2,192,40,another
-27.37682176,151.2746404,35,31,125,2,445,2,75,33,another
-27.54813952,151.3821518,42,32,100,2,405,1.7,65,12,another
-27.51315224,151.3239604,37,29,83,1.5,392,8.2,40,21,another
-27.51424995,151.3667188,41,34,103,2,445,3,74,18,another
-27.55185287,151.3419031,37,26,86,1.5,385,2.5,50,5,another
-27.53980459,151.3672057,38,31,107,1.7,401,5.1,64,15.8,another
-27.57595333,151.3754082,36,24,80,1.6,380,2.1,48,6.6,another
-27.230494,151.1981749,34,33,272,1.8,397,1,308,38,another
-27.20397267,151.1744273,35,32,266,1.5,424,1.1,275,54,another
-27.16366585,151.1042205,92,88,540,1,395,1.3,970,120,another
-27.60674847,151.4274831,40,41,170,2,475,3.6,160,33,another
-27.58395832,151.3075905,39,23,76,1.1,360,6.5,55,2.9,another
-27.33333491,151.2594045,31,38,320,2,461,1.2,340,91,another
-27.55426039,151.3685779,36,26,85,1.3,398,1.5,38,10,another
-27.4958138,151.3015173,38,31,99,1.2,425,6.9,49,30,another
-28.20302122,152.015995,69,42,61,1.5,346,0.8,130,2,another
-27.53536323,151.3982361,44,42,148,2,479,1.1,150,25,another
-27.37495881,151.2208313,24,16,74,1,225,0.6,50,2.3,another
-27.5608355,151.3319134,41,28,80,1.3,395,2.8,45,8.6,another
-27.71306615,151.3184691,33,18,103,2,239,0.5,140,5,another
-27.58726129,151.3994943,44,30.5,98,2,430,2.5,66,8,another
-28.19549198,151.9688568,43,20,36,2,237,0.9,60,0,another
-28.19024563,151.9698372,55,31,55,1.5,370,3.8,60,0,another
-28.18455244,151.9709439,64,54,71,2,343,1.5,180,0,another
-28.17905529,151.9720432,53,45,68,0.5,328,1.7,140,0,another
-28.08984996,151.7885113,66,41,73,5.2,298,0.4,190,4,another
-28.09027058,151.7951254,48,32,148,2,314,1.3,225,12,another
-28.09072473,151.8015191,11,5.3,20,3.3,68,0.1,28,0,another
-27.94946154,151.6629365,73,47,59,1.6,315,3.5,165,6.5,another
-27.94299113,151.6672582,39,24.5,80,1.4,260,1.7,115,2.1,another
-27.93569453,151.6695798,57,40,89,1.5,400,1,112,4,another
-27.93551413,151.6700205,58,40,92,2.5,363,1.1,130,4,another
-27.92545364,151.6719463,59,45,106,3,437,0.8,120,15,another
-27.8723602,151.5300345,39,25,81,1.7,344,1.9,50,4,another
-27.85663805,151.5596569,28,23,91,2,334,1.4,70,5,another
-27.83486114,151.572659,46,102,480,2,706,3.5,640,105,another
-27.8151527,151.4528379,75,38,116,2,578,3.5,80,10,another
-27.78547067,151.4971754,45,340,1770,7.5,148,0,3100,925,another
-27.79452576,151.4016516,20,18,92,17,249,3.9,78,18.4,another
-27.78119237,151.4249844,74,37,105,2.2,538,2.4,86,4,another
-27.76143372,151.4346811,46,17,65,4,218,0.6,95,30,another
-27.76466029,151.361499,22,14,79,2.2,194,0.5,80,20,another
-27.73658726,151.3879805,95,40,75,2,368,1.7,170,4,another
-27.717358,151.4397519,42,29,116,2,397,1.3,100,10,another
-27.78396304,151.3051456,80,51,206,2,446,2.5,360,12,another
-27.76366838,151.3217113,39,22,36,2.6,208,0.6,58,5,another
-27.75977333,151.3276271,37,21,62,2,211,1.3,90,0,another
-27.73992841,151.3418584,35,20.5,100,2,245,5.3,140,2,another
-27.69437713,151.3772112,44,26,99,1.5,366,2.9,90,5,another
-27.67901582,151.4330613,42,35,180,2,398,2.3,180,50,another
-27.68980519,151.2372086,53,11,38,3,221,0.4,36,10,another
-27.69536046,151.2677637,27,10,88,2,253,3.3,60,12,another
-27.67869328,151.3330403,34,18,90,1.2,315,1.2,75,2,another
-27.65674867,151.3649842,41,29,94,3,325,2.2,95,5,another
-27.6306374,151.4047057,42,27,100,2,384,1.2,80,9,another
-27.60927282,151.4444887,100,144,1010,8,476,0,1650,350,another
-27.72431808,151.3020308,30,15,80,2.5,229,1.5,70,10,another
-27.69091526,151.3624844,37,32,100,4,308,1.6,130,0,another
