ObjectID,Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,cat_hex,an_hex,diamond_hex
68,-27.84934446,151.4009166,55.0,35.5,130.0,1.0,445.0,2.2,130.0,10.0,#abffaf,#ff9635,#ffffb4
69,-26.84014249,150.8774881,135.0,180.0,1550.0,2.8,810.0,6.0,2650.0,210.0,#3dff53,#43ff2b,#4ad1ff
70,-27.56765358,151.2392863,50.0,22.0,133.0,2.0,407.0,0.9,110.0,22.0,#98ff86,#ff8f3f,#e5ffad
71,-27.62258193,151.396928,108.0,212.0,2220.0,1.5,561.0,2.2,3900.0,14.0,#2bff43,#20ff0f,#2ecaff
72,-27.33047318,151.35198400000002,30.0,39.0,433.0,1.0,720.0,2.8,370.0,107.0,#31ff42,#ffea63,#72ff79
73,-28.22395523,152.04961310000002,115.0,73.0,63.0,0.7,540.0,4.4,210.0,4.8,#f9a9ff,#ffbd37,#ff6cd2
74,-28.2112445,152.0381915,280.2,153.6,372.6,2.7,499.0,2.7,1134.0,43.7,#eeffe5,#57ff29,#926aff
75,-27.58953158,151.3067504,41.0,23.0,73.0,1.1,370.0,5.1,50.0,2.9,#caffc4,#ff4e22,#ffe96d
76,-27.65497443,151.3229532,32.5,17.0,74.0,1.1,325.0,1.6,49.0,2.0,#acffa2,#ff5724,#f8ff74
77,-27.46662124,151.3972523,94.0,148.0,900.0,6.0,549.0,0.0,1520.0,270.0,#4bff6e,#53ff44,#55b9ff
78,-27.63355173,151.3171606,34.0,18.0,85.0,1.3,335.0,1.1,39.0,3.2,#a1ff98,#ff461f,#f0ff64
79,-27.53976626,151.288888,30.0,19.0,92.0,1.0,345.0,4.2,54.0,7.0,#8dff8f,#ff5928,#e7ff78
80,-28.08205865,151.81284519999997,130.0,105.0,165.0,1.8,355.0,2.2,590.0,6.9,#e1ebff,#72ff2b,#b078ff
81,-28.23210943,152.06406619999998,46.0,27.0,213.0,1.0,357.0,1.3,255.0,8.0,#63ff62,#deff3a,#abffc5
